   # 1:time (constant)	2:frequency	3:filter1 (low)	4:filter2	5:filter3   6:filter4	7:filter5	8:filter6	9:filter7	10:filter8	11:filter9  12:filter10 (middle)	13:filter11	14:filter12	15:filter13	16:filter14 (high)
   5.0000000e-01   0.0000000e+00   1.5314082e-04   9.7136332e-05   5.1163320e-05   2.7700099e-05   1.5980228e-05   9.8341348e-06   6.4095374e-06   4.3862353e-06   3.1255455e-06   2.3017535e-06   1.7399579e-06   1.3416700e-06   1.0490119e-06   8.2666871e-07
   5.0000000e-01   1.0000000e+00   1.5450281e-04   9.7366432e-05   5.1217785e-05   2.7716414e-05   1.5986043e-05   9.8365021e-06   6.4106075e-06   4.3867614e-06   3.1258226e-06   2.3019078e-06   1.7400480e-06   1.3417248e-06   1.0490463e-06   8.2669100e-07
   5.0000000e-01   2.0000000e+00   1.5859738e-04   9.8057599e-05   5.1381310e-05   2.7765384e-05   1.6003493e-05   9.8436058e-06   6.4138185e-06   4.3883401e-06   3.1266538e-06   2.3023709e-06   1.7403185e-06   1.3418892e-06   1.0491497e-06   8.2675787e-07
   5.0000000e-01   3.0000000e+00   1.6545034e-04   9.9212433e-05   5.1654281e-05   2.7847086e-05   1.6032597e-05   9.8554510e-06   6.4191721e-06   4.3909720e-06   3.1280394e-06   2.3031429e-06   1.7407694e-06   1.3421633e-06   1.0493220e-06   8.2686931e-07
   5.0000000e-01   4.0000000e+00   1.7510496e-04   1.0083528e-04   5.2037344e-05   2.7961646e-05   1.6073385e-05   9.8720467e-06   6.4266712e-06   4.3946580e-06   3.1299798e-06   2.3042239e-06   1.7414008e-06   1.3425470e-06   1.0495631e-06   8.2702535e-07
   5.0000000e-01   5.0000000e+00   1.8762227e-04   1.0293226e-04   5.2531405e-05   2.8109242e-05   1.6125901e-05   9.8934051e-06   6.4363196e-06   4.3993996e-06   3.1324756e-06   2.3056142e-06   1.7422127e-06   1.3430404e-06   1.0498733e-06   8.2722599e-07
   5.0000000e-01   6.0000000e+00   2.0308159e-04   1.0551128e-04   5.3137636e-05   2.8290105e-05   1.6190201e-05   9.9195421e-06   6.4481226e-06   4.4051987e-06   3.1355274e-06   2.3073140e-06   1.7432053e-06   1.3436436e-06   1.0502524e-06   8.2747125e-07
   5.0000000e-01   7.0000000e+00   2.2158113e-04   1.0858209e-04   5.3857473e-05   2.8504516e-05   1.6266353e-05   9.9504771e-06   6.4620864e-06   4.4120574e-06   3.1391363e-06   2.3093237e-06   1.7443788e-06   1.3443566e-06   1.0507006e-06   8.2776115e-07
   5.0000000e-01   8.0000000e+00   2.4323878e-04   1.1215634e-04   5.4692628e-05   2.8752810e-05   1.6354437e-05   9.9862331e-06   6.4782185e-06   4.4199785e-06   3.1433031e-06   2.3116438e-06   1.7457333e-06   1.3451796e-06   1.0512178e-06   8.2809570e-07
   5.0000000e-01   9.0000000e+00   2.6819306e-04   1.1624760e-04   5.5645089e-05   2.9035373e-05   1.6454547e-05   1.0026837e-05   6.4965275e-06   4.4289651e-06   3.1480291e-06   2.3142748e-06   1.7472691e-06   1.3461126e-06   1.0518041e-06   8.2847494e-07
