3781	4685	5302	5661	5756	5473	4768.5	4320	3712	3375.5	3157.5	3085	3126.5	3253.5	3663.5	3876	4315.5	4870.5	5558.5	6806	7849	9963.5	11392	12185	12921	12292	11305	9069.5	7229.5	6007	5031	4658.5	4975	5473.5	7152.5	8720	9974	10762	10287	9239	7593	6257.5	5474.5	4176.5	3430	3328.5	3091.5	3047.5	3100.5	3085	3308	3440	3811.5	3913	4242.5	4079	4348	4157.5	3995.5	3740	3605.5	3514	3426.5	3263	3051.5	2848.5	2821.5	2949.5	2784.5	2826.5	2835	2945	2865.5	2806	3002	3360	3817	4027	3791.5	3953.5	4110.5	4490	4841	5278.5	5952.5	6594.5	6955.5	7430.5	8443	9745	10750	11679	12404	11597	11529	10610	10129	9613.5	9550.5	9825	11071	11286	12363	13156	12486	11938	11359	10797	9796	8935	8643.5	7774	7217	6738	6506	7164	7683	8259	8637	8324.5	8050.5	7664	6799	6525.5	6302	6574.5	5912.5	6391.5	7153.5	7747	8050.5	8668	8781	8538.5	7941	6992	5847	4876.5	4045.5	3431.5	3004.5	2855	2808	2843.5	2711	2782.5	2775.5	2890	3103.5	3299.5	3413.5	3729.5	4068.5	4169.5	4093.5	3746	3688.5	3448.5	3212.5	3285	3262	3174	3127	2988.5	3220	3523	3595	3851	3807	3762	3576.5	3440.5	3346.5	3246	3317.5	3284	3243	3229	3228	3285.5
3351	3386	4521.5	4649	4700	3883.5	3008.5	2538.5	1932	1509	1233.5	1125	1198.5	1303.5	1702	1981.5	2611	2974.5	3830	4742.5	5898.5	7900.5	8887.5	9759	10184	9274	7655.5	6070	4426	3379	2680	2832	3370.5	4223	5774.5	6991.5	8509	8780	8186	6603.5	5131	3221	2668	1515.5	1179.5	1222.5	851.5	992	1261.5	1396.5	1664.5	2076.5	2556.5	2867	3269	3202	3658.5	3246	2821	2478	2382	2560.5	2365	2233.5	2244.5	1775	1378.5	1286.5	1121.5	1029.5	1131	1192	1253.5	1385.5	1638	1926	2152	2079.5	1895	2095.5	2251	2631.5	3156.5	3755	4774.5	5760.5	6129.5	6633	6943	7465	8403.5	8427	8379	8224.5	8066	7186	7258	6903.5	7100.5	7289.5	8114.5	8523	9208.5	9367.5	9070	8115.5	7264	6768	6428	5830.5	4850	4203	3996.5	3602.5	3482.5	3699.5	4089.5	4241.5	4955	4982	5231.5	4812	4244	3586	3589	3687	3560	4328	5311	5790.5	6347.5	6786.5	6536	5781.5	4856.5	3631	2782	1925.5	1456.5	1011	799	855	798	882.5	840.5	882	770	1027	1119.5	1576	1953.5	2224	2538.5	2722.5	2417	2151.5	1738	1379	1290	1384	1563	1486.5	1596.5	1865	2124.5	2541.5	2818.5	3041	3108	2990	2654.5	2368	2257	1963	2061	1914	1847	1788.5	1802	1962.5
4602.5	5083.5	6650.5	6701	6269	4965	3630.5	2651	1839.5	1318	1107	1069.5	1120.5	1265.5	1714	1955	2375.5	3157	3747.5	4762	6272	7042.5	8312.5	9593.5	8370	8817.5	7105.5	5619.5	4083.5	3248.5	2703	2739	3542.5	4708	6225.5	7545.5	9212	8002	7474	5667	4019	2575.5	1996.5	1391	1051.5	916.5	929	1068	1264.5	1462	2063.5	2547	3086	3349.5	3930.5	4076.5	3889	3385	2993	2748.5	2785.5	3303.5	3589.5	3788	3852	3203.5	2580.5	1916.5	1421.5	1286	1477	1558	1653.5	1720	1989	2328	2315.5	2391.5	2161.5	2391	2925	3352	4100.5	4724	6115.5	7027.5	7555	7449	7549.5	7608	7303.5	7000.5	7193.5	7100	7017	6617.5	6245	5741	5881	6114	6616	7637.5	8273.5	8366.5	7681.5	6723	5961	5282.5	4532	3944.5	3833.5	3465.5	3054	2664.5	2793.5	2957.5	3290	3775	4293.5	4694.5	5030	4229.5	3917.5	3540.5	3563.5	3941.5	3577	4325.5	5316	5917.5	6531.5	6272.5	6083	5164.5	4002	2996.5	2200.5	1598.5	1387.5	917.5	809.5	878.5	780	993.5	822.5	910.5	1063	1271	1673	2182	2668.5	3027.5	3320.5	3116	2618	2132	1640	1431	1272.5	1402.5	1805.5	1919.5	2346.5	2616.5	3043	3604	3843	4304.5	4209	3890	3471.5	2977	2843.5	2589	2818.5	2738	2536	2316.5	2215.5	2290.5
7052	7705	8662.5	8723	7865	6480.5	4482	3115.5	1906.5	1297.5	1030	949.5	1076	1242.5	1542	1981.5	2415	3024.5	4034	4867.5	6529	7421.5	7677.5	8044	7306	7257	5049.5	4102.5	3039.5	2569.5	2140.5	2658	3700	4789.5	6585.5	7560.5	8432.5	7145.5	6799	4597.5	3110.5	2079.5	1591	1078	923.5	836	1047	1214.5	1496	1771.5	2490	2863	3512	3502.5	4247.5	4024.5	4062.5	3610.5	2963.5	2758.5	3172	4195.5	4895	5853.5	6037.5	5221	4518.5	3324.5	2336.5	1995	2117.5	2005	2183	2209.5	2341	2601	2521	2558.5	2134	2873	3229	4059.5	4693.5	5593	6954.5	7812.5	8006.5	7797.5	7810.5	7162.5	6599.5	6146.5	6437.5	5469.5	5075	4986.5	5144	5119	5015	5377	6145	6314.5	6484.5	6449.5	5959.5	5338	4701	4161	3548	3175	2765	2446	2334	2247.5	2273	2591.5	2937.5	3816.5	4401	4763.5	4999.5	4285	3887	3475.5	3522	4255	3822.5	4630.5	5508.5	6134	6094	6082.5	5662	4216.5	3468	2472.5	1813	1332	1146.5	842	886	920.5	971	953.5	923.5	1035	1375	1795.5	2492	3150	3890.5	4282.5	4486	3985.5	3097	2257	1797.5	1505.5	1422.5	1707	2345	2679	3287	3805.5	4216	4615	5051.5	5421.5	5144	4839	4353.5	4007	3797	3694.5	3815.5	3758	3568.5	3247.5	3103.5	3030.5
9542	11119	10690	10732	8780	7201	5140	3318	2027.5	1266.5	926	949	973.5	1163.5	1583	2192	2756	3513.5	4462	5274	6681	8043	7713	6745.5	6409.5	5083.5	3728	3156.5	2277.5	2236	2064.5	2861	3795	4946.5	6951	8179	8336	7080.5	5396	3682	2670	1513.5	1368.5	957	912	773.5	1064.5	1343	1720	1870.5	2679.5	3171.5	3288	3372	4138	3840.5	3876	3246.5	2813	2832	3428.5	4640	6123	7801.5	8684.5	7858.5	6504	5179	3769.5	3007	3113	2693.5	2907	2651.5	2709	2634	2490.5	2565	2250	3167.5	3441.5	4444	5276	6032	6834.5	7603	8104	7430.5	6932.5	5690.5	5148	4924	4303	4173	3995	3981	3945	4127.5	4331.5	4342.5	4940.5	5009.5	5380.5	5057.5	4513	3992	3514	3079.5	2692	2470.5	2051.5	2070.5	2063.5	1974	2075.5	2501.5	3152	3846.5	4605.5	5297	5366	4792	4360.5	4031	4147.5	4740.5	4139.5	5219.5	5867	6076.5	5885	5825	4946.5	3536	2871.5	2011.5	1510.5	1210	1051.5	912.5	982.5	1004.5	963.5	1288	1197	1430	1966.5	2699	3654	4694	5497	5991	6075	5173.5	3906.5	2908	2385.5	1900.5	1926	2221.5	3008.5	3745.5	4458.5	5202	5641.5	6143	6581	6434.5	5936.5	5422.5	5128.5	5113.5	5197	4981.5	5382	5146.5	4711.5	4284	4179.5	4036.5
11259	13663	12538	11652	9055	7033.5	4694.5	3039	1803.5	1274.5	958	875.5	1073.5	1267	1755.5	2384.5	2879.5	3974.5	4617	5865	6784.5	7376.5	7559.5	6247	5110	3607.5	3103.5	2370	2084.5	2092	2152.5	2788.5	3886.5	5011	5661	6755.5	7014	5573.5	4183	2957	1919.5	1143.5	1181.5	913.5	907.5	1012	1213.5	1479.5	2110	2348	3159.5	3400	3420	3559.5	4055	3455	3649.5	3000.5	2852	2869.5	3429	4653	6339.5	7968.5	8909.5	9557	8446	6914.5	5549	4514	4172.5	3600.5	3619.5	3086	2936.5	2738.5	2325.5	2376	2162	2742.5	3210	4038	5022	5678	6333.5	6578.5	6673	5838	5386.5	4726	3958	3686	3418	3262.5	2848	2999.5	3120.5	3074	3257.5	3612	3978	3977	3847.5	3734	3296	2998.5	2647.5	2498	2105	2096	1967.5	1985.5	2061.5	1971	2352.5	2896.5	3298	4348.5	5007	5805.5	5761.5	5429.5	5117.5	5059	5031.5	5497	4555.5	5388	5886.5	6273	6014.5	5153	4139.5	3104	2326	1729.5	1341.5	1128.5	1019.5	980	1165	1278.5	1348.5	1515.5	1717	2242	2998	4143	5350	6446	7463.5	8008.5	7821	6398	5047	4057.5	3375.5	2690.5	2713.5	2969	3983	4983	5775.5	6512.5	7154	7475.5	7817.5	7318	6842.5	6405.5	5992.5	5958	6029.5	6000	6433	6213	5864	5396	5237	5180
12308	14138	13802	11693	8584.5	6519.5	4207.5	2761	1728.5	1195.5	1003.5	947.5	1106.5	1423.5	1920.5	2562	3130	3967	4628.5	5784.5	6276	6818.5	6668	5539.5	4396.5	3162	2454.5	1894	2129.5	1991	2399	3015.5	3881	4829	5341.5	6090.5	5154	3858.5	3058	2098	1359.5	985.5	1031.5	826	979.5	1088.5	1290	1907	2473.5	2978	3739.5	3703	4006	3750	3763.5	3366	3358.5	2662.5	2486	2418	3375	4806	5405.5	8045.5	8789	9280	9078.5	8601	7394	6086.5	5431	4483.5	4126.5	3496	2938	2492	2208.5	2042	2094.5	2410	3024	3537	4243.5	4834.5	5858.5	5641	5217	4620.5	3896	3222	2829.5	2556	2586	2707.5	2463.5	2273	2325	2562	2509	2702	2866.5	2987	3010.5	2891.5	2421.5	2182	2048	2003	1648.5	1582	1567	1928	2084	2415	2834.5	3421.5	3890.5	4958	5275.5	6427.5	6551.5	6095.5	6076.5	6195.5	6384	6425	5222	5477	5976.5	6119.5	5670.5	4766.5	3953.5	2976.5	1985	1436.5	1302.5	1145	1159	1198	1436.5	1681	1597	1961.5	2245	3049.5	4215	5553.5	6802	8362.5	9223.5	9085	8530.5	7854	6702.5	5313.5	4567.5	3898.5	3680.5	3922	4814	5493	6483.5	7504	8465	8840.5	8831.5	8495.5	7726.5	6749	6418.5	6049	6534	6952	6981.5	6642.5	6034.5	5496	5142.5	5128.5
12634	13248	13702	11585	8777	6316.5	3975	2570.5	1684.5	1131.5	1081	961.5	1195.5	1572	2045.5	2513.5	2961	3533	4416	5055	5450.5	6316	5633.5	4703.5	3818	2809.5	2183	2214.5	2309.5	2466.5	2746	3100	3603.5	4425.5	4727	4219	3487.5	2864.5	2222.5	1433.5	1081	941	820.5	887	1086	1383	1757	2217	2923	3632.5	4154.5	4268	4230.5	4022.5	3708.5	3117.5	2712	2199	2138	2431.5	2704	4842	5457	6788.5	7900	8629	9157	9642	8616	7628	6676.5	5125.5	4234.5	3426	2886	2175	1941	1709.5	1859	2191	2377	2630	3686	3962.5	4772.5	4804	4459.5	3483	2856	2346.5	2165.5	2093	1787.5	1932.5	1744.5	1765.5	1800.5	1974.5	2191	2294.5	2295	2153	2320.5	2173.5	1962.5	1588	1602.5	1473	1385	1430	1746.5	2088.5	2684.5	3330	3655	4496	4904.5	5453.5	6098.5	7076	6975	6929.5	6689	7010	7513	7437	5438	5535.5	5708	5846	5221	4527	3463.5	2385.5	1982.5	1379	1324	1300.5	1417.5	1612	1797.5	2113.5	2076.5	2462	2936	3739	5531	7236	8960	10376	10475	10419	9774	8486.5	7001.5	5979	5248	4570.5	4189	4476.5	5530	6307.5	7343	8029.5	8651.5	9136	9063.5	8822	8190	7269.5	6534.5	6156	6195	6277.5	5944.5	5805.5	5267.5	4791	4281	4283
12970	11840	12618	10577	8547	6121.5	4076.5	2665	1713.5	1212	1101	1054.5	1352	1726.5	2027	2391.5	2761	3445	3572	4363	5061	5486	5296	4314.5	3528	2611.5	2493.5	2580.5	2484.5	2797	2725.5	3214	3493	3910.5	4147.5	3532.5	2937	2122	1531.5	1085	990	800	875	936.5	1352.5	1659	2176.5	2758.5	3505	4059.5	4292.5	4503.5	4370	3880.5	3266	2603	2528	2024	1728	2079.5	2318	3634.5	5684.5	6360	7242	8463.5	9059	10171	9276	8293.5	6829	5164	4261	3105.5	2589	1919.5	1643	1517.5	1521.5	2013	2262	2694.5	3049	3279.5	3822	3784.5	3272	2684.5	2158.5	1845	1597	1626	1526	1384	1375	1371	1450	1564.5	1587.5	1753	1782.5	1720	1656.5	1474.5	1345.5	1176.5	1254	1253.5	1305	1490	1920	2733	3818	4311	5278.5	5784.5	5827	6456	6802	7650.5	7453.5	7768	7502.5	8061	8031	8260	5470	5483	5164	5358.5	4668.5	4077.5	3258.5	2176	1755.5	1410	1489	1578	1964.5	2135	2412	2573.5	2531	2801	3328.5	4774.5	6664.5	8634.5	10649	12220	12932	11658	10419	8944	7364.5	6491	5378.5	4631.5	4569	4713.5	5278.5	5909.5	6645.5	7425.5	8012.5	8422.5	8281.5	8010.5	7195	6436	5756.5	5381.5	5091.5	5301.5	5041	4766.5	3982.5	3864	3254	3227.5
12302	11189	11626	9752.5	7945.5	6185.5	4041	2701.5	1578	1257.5	1090	1162	1281.5	1664	2013.5	2191	2598	3046	3022	3582	4272.5	4642	4909.5	4052	3562	2972	2811	2905	2911	3300.5	2939	3222.5	3271	3038	3101.5	2601.5	1980	1597	1334.5	918	920.5	967.5	982.5	1240.5	1735.5	2497	3076	3639	3993.5	4778	4676	4514	4419	3721	3289	2437	2126	1636.5	1529	1825	2538.5	3006.5	4100.5	5034	6476.5	7177	7704	8981.5	8621.5	8244	6420	4836	4059	2698	2176.5	1632.5	1291	1409.5	1270	1561	1810	2340	2761.5	2754.5	3124	3045	2547	2126.5	1678.5	1530	1432	1271.5	1212.5	1126.5	1120.5	1062	1168.5	1192.5	1378.5	1343	1287	1235.5	1353	1385.5	1117.5	1030.5	989	1094	1262	1554.5	2358.5	3612	4739	5739.5	7161.5	7599	7391	7987.5	7736.5	8895.5	8885.5	9088.5	8152	9081.5	8481.5	8736.5	5594	5401.5	5164.5	5265.5	4633.5	3851.5	3120.5	2368.5	2061.5	1713.5	1803.5	2100	2472	2670.5	3097	3128.5	2892.5	3335.5	4320	5391.5	7411	9855	12219	13355	14019	13048	11551	9716	7354	5928.5	4914	4523.5	4511.5	4531.5	4852.5	5473.5	6057	6105	6433	6668.5	6555	6305	5672	5016.5	4633	4260.5	4250	4124.5	3888.5	3556	3272.5	3392	3385	2988.5
