# long, lat, r, g, b
-180,90,120,168,206
-178.971,90,121,167,206
-177.943,90,121,168,206
-176.914,90,121,168,206
-175.886,90,121,168,206
-174.857,90,121,168,206
-173.829,90,121,168,206
-172.8,90,122,169,206
-171.771,90,122,169,207
-170.743,90,122,169,207
-169.714,90,122,169,207
-168.686,90,122,169,207
-167.657,90,122,169,207
-166.629,90,122,169,206
-165.6,90,122,169,206
-164.571,90,122,169,206
-163.543,90,122,169,206
-162.514,90,122,168,206
-161.486,90,122,169,206
-160.457,90,122,168,206
-159.429,90,122,169,206
-158.4,90,122,169,206
-157.371,90,122,169,206
-156.343,90,121,168,206
-155.314,90,121,168,206
-154.286,90,121,168,206
-153.257,90,121,168,206
-152.229,90,121,168,206
-151.2,90,121,168,206
-150.171,90,121,168,206
-149.143,90,121,168,206
-148.114,90,122,168,206
-147.086,90,122,168,206
-146.057,90,122,168,206
-145.029,90,122,169,206
-144,90,122,169,206
-142.971,90,122,169,206
-141.943,90,122,169,206
-140.914,90,122,168,206
-139.886,90,122,168,206
-138.857,90,122,168,206
-137.829,90,122,168,206
-136.8,90,122,168,206
-135.771,90,122,168,206
-134.743,90,122,168,206
-133.714,90,122,169,206
-132.686,90,122,169,207
-131.657,90,122,169,207
-130.629,90,123,169,207
-129.6,90,123,169,207
-128.571,90,123,169,207
-127.543,90,123,169,207
-126.514,90,123,169,207
-125.486,90,124,169,207
-124.457,90,124,169,207
-123.429,90,124,170,207
-122.4,90,124,170,207
-121.371,90,124,170,207
-120.343,90,124,170,208
-119.314,90,124,170,208
-118.286,90,124,170,208
-117.257,90,124,170,208
-116.229,90,124,170,207
-115.2,90,124,170,207
-114.171,90,124,170,207
-113.143,90,124,170,207
-112.114,90,124,170,208
-111.086,90,125,170,208
-110.057,90,125,171,208
-109.029,90,126,171,208
-108,90,126,171,208
-106.971,90,126,171,208
-105.943,90,126,171,208
-104.914,90,126,171,208
-103.886,90,126,171,208
-102.857,90,126,171,208
-101.829,90,126,171,208
-100.8,90,126,171,208
-99.7714,90,126,171,208
-98.7429,90,126,171,208
-97.7143,90,126,171,208
-96.6857,90,126,171,208
-95.6571,90,126,171,208
-94.6286,90,126,171,208
-93.6,90,126,171,208
-92.5714,90,126,171,208
-91.5429,90,126,171,208
-90.5143,90,126,171,208
-89.4857,90,126,171,208
-88.4571,90,126,171,208
-87.4286,90,126,171,208
-86.4,90,126,171,208
-85.3714,90,126,171,208
-84.3429,90,126,171,208
-83.3143,90,126,171,208
-82.2857,90,126,171,208
-81.2571,90,126,171,208
-80.2286,90,126,171,208
-79.2,90,126,171,208
-78.1714,90,127,171,208
-77.1429,90,127,172,208
-76.1143,90,127,172,209
-75.0857,90,127,172,209
-74.0571,90,127,172,209
-73.0286,90,127,172,209
-72,90,127,172,209
-70.9714,90,128,172,209
-69.9429,90,128,172,209
-68.9143,90,128,172,209
-67.8857,90,128,173,209
-66.8571,90,129,173,209
-65.8286,90,129,173,209
-64.8,90,129,173,209
-63.7714,90,129,173,209
-62.7429,90,129,173,209
-61.7143,90,128,173,209
-60.6857,90,128,173,209
-59.6571,90,128,172,209
-58.6286,90,127,172,208
-57.6,90,127,172,208
-56.5714,90,126,171,208
-55.5429,90,125,171,208
-54.5143,90,125,170,208
-53.4857,90,124,169,207
-52.4571,90,123,169,207
-51.4286,90,122,168,206
-50.4,90,121,168,206
-49.3714,90,120,168,206
-48.3429,90,120,167,206
-47.3143,90,120,167,205
-46.2857,90,119,167,205
-45.2571,90,119,167,205
-44.2286,90,119,167,205
-43.2,90,119,167,205
-42.1714,90,119,167,205
-41.1429,90,119,167,205
-40.1143,90,119,167,205
-39.0857,90,119,167,205
-38.0571,90,119,167,205
-37.0286,90,120,167,205
-36,90,120,167,205
-34.9714,90,120,167,205
-33.9429,90,120,167,205
-32.9143,90,120,167,206
-31.8857,90,120,167,206
-30.8571,90,120,167,206
-29.8286,90,120,167,206
-28.8,90,120,167,206
-27.7714,90,120,167,206
-26.7429,90,120,167,205
-25.7143,90,120,167,205
-24.6857,90,120,167,205
-23.6571,90,120,167,205
-22.6286,90,119,167,205
-21.6,90,119,167,205
-20.5714,90,119,167,205
-19.5429,90,119,167,205
-18.5143,90,119,167,205
-17.4857,90,119,166,205
-16.4571,90,119,166,205
-15.4286,90,119,167,205
-14.4,90,119,167,205
-13.3714,90,119,167,205
-12.3429,90,119,166,205
-11.3143,90,118,166,204
-10.2857,90,118,166,204
-9.25714,90,118,166,204
-8.22857,90,118,166,204
-7.2,90,118,166,204
-6.17143,90,118,166,204
-5.14286,90,118,166,204
-4.11429,90,118,166,204
-3.08571,90,118,166,204
-2.05714,90,118,166,204
-1.02857,90,118,166,204
0,90,118,166,204
1.02857,90,118,166,204
2.05714,90,118,166,204
3.08571,90,118,166,204
4.11429,90,118,166,204
5.14286,90,118,166,204
6.17143,90,118,166,204
7.2,90,118,166,204
8.22857,90,118,166,204
9.25714,90,118,166,204
10.2857,90,118,166,204
11.3143,90,118,166,204
12.3429,90,118,166,204
13.3714,90,118,166,204
14.4,90,118,166,204
15.4286,90,118,166,204
16.4571,90,118,166,204
17.4857,90,118,166,204
18.5143,90,118,166,204
19.5429,90,118,166,204
20.5714,90,118,166,204
21.6,90,118,166,204
22.6286,90,118,166,204
23.6571,90,118,166,204
24.6857,90,118,166,204
25.7143,90,118,166,204
26.7429,90,118,166,204
27.7714,90,118,166,204
28.8,90,118,166,204
29.8286,90,118,166,204
30.8571,90,118,166,204
31.8857,90,118,166,204
32.9143,90,118,166,204
33.9429,90,118,166,204
34.9714,90,118,166,204
36,90,118,166,204
37.0286,90,118,166,204
38.0571,90,118,166,204
39.0857,90,118,166,204
