Time  Temperature
min.  °C	
0  20
0.225244  40.3522
0.46742  64.9523
0.740231  92.6714
1.05409  122.623
1.41645  154.107
1.83217  186.575
2.30394  219.593
2.8326  252.821
3.41757  285.995
4.05713  318.911
4.7487  351.414
5.48914  383.393
6.27489  414.764
7.10221  445.473
7.96728  475.485
8.86632  504.782
9.79566  533.356
10.7518  561.21
11.7316  588.352
12.7319  614.792
13.7501  640.542
14.7836  665.615
15.8303  690.022
16.8882  713.773
17.9555  736.875
19.0308  759.332
20.1128  781.148
21.2003  802.322
22.2924  822.853
23.3883  842.738
24.4873  861.973
25.5888  880.554
26.6923  898.476
27.7974  915.735
28.9039  932.329
30.0114  948.255
31.1197  963.512
32.2286  978.102
33.3381  992.026
34.448  1005.29
35.5582  1017.89
36.6687  1029.84
37.7793  1041.14
38.8901  1051.81
40.0011  1061.83
41.1121  1071.22
42.2234  1079.98
43.3347  1088.11
44.4463  1095.61
45.5581  1102.47
46.6702  1108.68
47.7828  1114.24
48.8959  1119.12
50.0099  1123.31
51.1248  1126.77
52.2412  1129.49
53.3593  1131.41
54.4799  1132.52
55.6036  1132.76
56.7313  1132.08
57.8642  1130.45
59.0038  1127.8
60.1518  1124.09
61.3104  1119.27
62.4824  1113.28
63.6712  1106.06
64.8806  1097.58
66.1155  1087.78
67.3816  1076.62
68.6859  1064.07
70.0362  1050.08
71.442  1034.64
72.914  1017.72
74.4649  999.308
76.1087  979.401
77.8616  958.003
79.7414  935.127
81.7679  910.799
83.9629  885.054
86.3494  857.942
88.9522  829.53
91.7966  799.897
94.9086  769.149
98.3133  737.409
100      722
102.034  704.83
106.093  671.595
110.504  637.921
115.279  604.064
120.417  570.323
125.908  537.042
131.727  504.617
137.831  473.492
144.157  444.166
150.619  417.187
157.102  393.153
163.466  372.71
169.539  356.543
175.124  345.382
180  340
