#1      2        3        4      5		 6
#prob   x        y        z      density description
"E01"   0.00000 -1.14161 -0.020	 0.7500	 "dense"
"E02"  -0.94493 -0.81804 -0.020	 0.5753	 "normal"
"E03"   0.75306 -0.72000 -0.020	 0.7792	 "dense"
"E05"  -0.25000  0.17000 -0.020	 0.3848	 "normal"
"E09"   0.27000  0.00000 -0.050	 0.7088	 "dense"
"E10"   1.05000  0.00000 -0.050	 0.6634	 "dense"
"E21"  -0.65549  0.65549 -0.050	 0.5262	 "normal"
"E22"   0.00000  1.14200 -0.050	 0.6315	 "normal"
"E23"   0.73640  0.98769 -0.050	 0.6797	 "dense"
"E24"   0.15000  0.06000 -0.050	 0.8559	 "very dense"
"E25"  -0.04000  0.22650 -0.050	 0.5386	 "normal"
"xmin" -1.50000  0.00000 -0.050  0.5508  "dummy"
"xmax"  1.50000  0.00000 -0.050  0.6634  "dummy"
"ymin"  0.00000 -1.50000 -0.050  0.7500  "dummy"
"ymax"  0.00000  1.50000 -0.050  0.6315  "dummy"
